epoch,accuracy,loss,val_accuracy,val_loss
0,0.7310000061988831,0.7825726866722107,0.8812500238418579,0.282522976398468
1,0.8429999947547913,0.42998871207237244,0.8025000095367432,0.4654644727706909
2,0.859000027179718,0.32467836141586304,0.8700000047683716,0.3562581241130829
3,0.8989999890327454,0.26623788475990295,0.887499988079071,0.3393830358982086
4,0.9169999957084656,0.2204320728778839,0.9012500047683716,0.30658847093582153
5,0.921999990940094,0.1938803493976593,0.8924999833106995,0.3188483417034149
6,0.9409999847412109,0.1463865339756012,0.8999999761581421,0.33076736330986023
7,0.9549999833106995,0.14619365334510803,0.8837500214576721,0.4711665213108063
8,0.9570000171661377,0.11057963967323303,0.8924999833106995,0.4021224081516266
9,0.9629999995231628,0.1040082573890686,0.8824999928474426,0.4629366397857666
